Code,Food Name,대분류,중분류,fc,vg,cs,si
B12053,돌솥비빔밥,일반외식 및 배달음식,일반외식,FC08S06,VG03,CS01,"SI01, SI04"
B12054,돼지간,일반외식 및 배달음식,일반외식,FC21S03,VG07,CS01,SI01
B12055,돼지두루치기,일반외식 및 배달음식,일반외식,FC09S04,VG07,CS01,SI04
B12056,돼지짜글이,일반외식 및 배달음식,일반외식,FC09S04,VG07,CS01,"SI04, SI08, SI02"
B12057,두부두루치기,일반외식 및 배달음식,일반외식,FC18S01,VG01,CS01,"SI02, SI04"
B12058,두부버섯전골,일반외식 및 배달음식,일반외식,FC20S03,VG05,CS01,SI02
B12059,두부샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG01,CS12,SI01
B12061,등갈비찜,일반외식 및 배달음식,일반외식,FC21S03,VG07,CS01,"SI04, SI08"
B12062,떡만두라면,일반외식 및 배달음식,일반외식,FC07S03,VG07,CS13,
B12063,떡만둣국,일반외식 및 배달음식,일반외식,FC07S04,VG07,CS01,"SI01, SI02"
B12064,로제찜닭,일반외식 및 배달음식,일반외식,FC21S03,VG06,CS13,"SI01, SI06"
B12066,리코타치즈샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG02,CS13,"SI01, SI11"
B12067,마약옥수수,일반외식 및 배달음식,일반외식,FC01S01,VG04,CS13,"SI08, SI06"
B12072,먹태,일반외식 및 배달음식,일반외식,FC09S03,VG05,CS01,"SI02, SI06"
B12073,메밀만두,일반외식 및 배달음식,일반외식,FC07S04,VG07,CS01,SI01
B12074,메밀전,일반외식 및 배달음식,일반외식,FC16S06,VG01,CS01,
B12075,멸치국수,일반외식 및 배달음식,일반외식,FC07S01,VG05,CS01,"SI01, SI02"
B12078,모둠순대,일반외식 및 배달음식,일반외식,FC21S03,VG07,CS01,"SI01, SI02, SI03"
B12079,무뼈닭발,일반외식 및 배달음식,일반외식,FC18S03,VG06,CS01,"SI02, SI04, SI09"
B12080,묵밥(묵사발),일반외식 및 배달음식,일반외식,FC08S01,VG05,CS01,"SI01, SI08"
B12082,묵은지감자탕,일반외식 및 배달음식,일반외식,FC04S04,VG07,CS01,SI01
B12084,물밀면,일반외식 및 배달음식,일반외식,FC07S02,VG07,CS01,"SI01, SI08"
B12085,민물새우튀김,일반외식 및 배달음식,일반외식,FC22S02,VG05,CS01,SI01
B12086,바지락된장찌개,일반외식 및 배달음식,일반외식,FC20S01,VG05,CS01,"SI03, SI04"
B12087,바지락칼국수,일반외식 및 배달음식,일반외식,FC07S01,VG05,CS01,"SI01, SI02"
B12088,버섯샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG01,CS12,
B12089,버섯피자,일반외식 및 배달음식,일반외식,FC10S10,VG04,CS09,"SI01, SI08, SI06"
B12090,버팔로윙,일반외식 및 배달음식,일반외식,FC22S03,VG06,CS12,"SI01, SI02, SI08, SI09, SI06"
B12092,불백(뚝배기불고기),일반외식 및 배달음식,일반외식,FC09S04,VG07,CS01,"SI02, SI09"
B12094,비빔막국수,일반외식 및 배달음식,일반외식,FC07S01,VG05,CS01,SI04
B12095,비빔밀면,일반외식 및 배달음식,일반외식,FC07S02,VG05,CS01,"SI01, SI04"
B12096,비프샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG07,CS12,"SI01, SI06"
B12097,빈대떡,일반외식 및 배달음식,일반외식,FC16S02,VG07,CS01,SI01
B12098,빨계떡,일반외식 및 배달음식,일반외식,FC07S03,VG03,CS13,
B12100,삼치구이,일반외식 및 배달음식,일반외식,FC03S02,VG05,CS01,SI01
B12101,새우만두,일반외식 및 배달음식,일반외식,FC07S04,VG07,CS01,"SI01, SI02"
B12104,생태찌개,일반외식 및 배달음식,일반외식,FC20S01,VG05,CS01,"SI01, SI03, SI04"
B12105,석갈비,일반외식 및 배달음식,일반외식,FC03S03,VG07,CS01,"SI02, SI05, SI08, SI11"
B12106,소고기간,일반외식 및 배달음식,일반외식,FC21S03,VG07,CS01,SI01
B12107,소고기초밥,일반외식 및 배달음식,일반외식,FC08S02,VG07,CS03,"SI01, SI08, SI06"
B12108,소고기타다끼초밥,일반외식 및 배달음식,일반외식,FC08S02,VG07,CS03,"SI01, SI08, SI06"
B12109,순대전골,일반외식 및 배달음식,일반외식,FC20S02,VG07,CS01,"SI02, SI03, SI04"
B12110,순두부짬뽕,일반외식 및 배달음식,일반외식,FC07S06,VG05,CS13,"SI01, SI02"
B12111,시래기해장국,일반외식 및 배달음식,일반외식,FC04S04,VG07,CS01,"SI03, SI04"
B12112,야끼만두,일반외식 및 배달음식,일반외식,FC07S04,VG01,CS03,"SI01, SI02, SI08"
B12113,야채곱창볶음,일반외식 및 배달음식,일반외식,FC09S04,VG07,CS01,"SI02, SI04, SI08"
B12114,양평해장국,일반외식 및 배달음식,일반외식,FC04S04,VG07,CS01,"SI01, SI02, SI03, SI04"
B12115,어니언링,일반외식 및 배달음식,일반외식,FC22S04,VG03,CS12,SI06
B12116,어묵튀김,일반외식 및 배달음식,일반외식,FC22S02,VG05,CS01,
